enrollee_id,city,city_development_index,experience,training_hours,target,cdi_round,training_ten_hours,gender_original,relevent_experience_original,enrolled_university_original,education_level_original,major_discipline_original,experience_group_original,company_size_original,company_type_original,last_new_job_original,Female,Male,Gender_other,Gender_no_info,Experience_in_data_science,No_experience_in_data_science,Full_time_course,Part_time_course,No_course,Graduate,High_School,Masters,Phd,Primary_School,Major_in_Arts,Major_in_Business_Degree,Major_in_Humanities,No_Major,Major_in_Other,Major_in_STEM,Major_no_info,Work_experience_11_to_15_y,Work_experience_16_to_20_y,Work_experience_5_to_10_y,Work_experience_up_to_5_y,Work_experience_more_than_20_y,Company_size_10_to_49,Company_size_100_to_500,Company_size_1000_to_4999,Company_size_more_than_10000,Company_size_50_to_99,Company_size_500_to_999,Company_size_5000_to_9999,Company_size_up_to_10,Company_size_no_info,Currently_in_Early_Stage_Startup,Currently_in_Funded_Startup,Currently_in_NGO,Currently_in_other_company_type,Currently_in_Public_Sector,Currently_in_Pvt_Ltd,Company_type_no_info,1_year_between_previous_and_current_job,2_years_between_previous_and_current_job,3_years_between_previous_and_current_job,4_years_between_previous_and_current_job,More_than_4_years_between_previous_and_current_job,Last_new_job_never,cdi_split,city_split,experience_split_20,experience_split_5,relevant_experience_split,last_new_job_split,company_type_split,enrolled_university_split,education_level_split_g,education_level_split_h,company_size_split
8949,103,0.92,>20,36,1.0,0.9,0,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,no info,no info,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1
29725,40,0.7759999999999999,15,47,0.0,0.8,40,Male,No relevent experience,no_enrollment,Graduate,STEM,11-15,50-99,Pvt Ltd,>4,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0
11561,21,0.624,5,83,0.0,0.6,80,no info,No relevent experience,Full time course,Graduate,STEM,5-10,no info,no info,never,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,1,0,0,1,0,1
666,162,0.767,>20,8,0.0,0.8,0,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,50-99,Funded Startup,4,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
21651,176,0.764,11,24,1.0,0.8,0,no info,Has relevent experience,Part time course,Graduate,STEM,11-15,no info,no info,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
28806,160,0.92,5,24,0.0,0.9,0,Male,Has relevent experience,no_enrollment,High School,no info,5-10,50-99,Funded Startup,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
402,46,0.762,13,18,1.0,0.8,0,Male,Has relevent experience,no_enrollment,Graduate,STEM,11-15,<10,Pvt Ltd,>4,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0
27107,103,0.92,7,46,1.0,0.9,40,Male,Has relevent experience,no_enrollment,Graduate,STEM,5-10,50-99,Pvt Ltd,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
699,103,0.92,17,123,0.0,0.9,120,no info,Has relevent experience,no_enrollment,Graduate,STEM,16-20,10000+,Pvt Ltd,>4,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0
29452,21,0.624,2,32,1.0,0.6,0,no info,No relevent experience,Full time course,High School,no info,<5,no info,no info,never,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,1,1,0,0,0,1,1
23853,103,0.92,5,108,0.0,0.9,80,Male,Has relevent experience,no_enrollment,Graduate,STEM,5-10,5000-9999,Pvt Ltd,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
25619,61,0.913,>20,23,0.0,0.9,0,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,1000-4999,Pvt Ltd,3,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0
8722,21,0.624,5,26,0.0,0.6,0,no info,No relevent experience,Full time course,High School,no info,5-10,no info,no info,never,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,1,1
6588,114,0.926,16,18,0.0,0.9,0,Male,Has relevent experience,no_enrollment,Graduate,STEM,16-20,10/49,Pvt Ltd,>4,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0
4167,103,0.92,1,106,0.0,0.9,80,no info,Has relevent experience,no_enrollment,Graduate,STEM,<5,50-99,Pvt Ltd,never,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,1,0,0
5764,21,0.624,2,7,0.0,0.6,0,no info,Has relevent experience,no_enrollment,Graduate,STEM,<5,5000-9999,Pvt Ltd,2,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,1,1,1,0,0
2156,21,0.624,7,23,1.0,0.6,0,no info,Has relevent experience,no_enrollment,Graduate,STEM,5-10,10000+,Pvt Ltd,never,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,1,0,0
11399,13,0.8270000000000001,4,132,1.0,0.8,120,Female,Has relevent experience,no_enrollment,Graduate,Arts,<5,no info,no info,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1
31972,159,0.843,11,68,0.0,0.8,40,Male,Has relevent experience,no_enrollment,Masters,STEM,11-15,100-500,Pvt Ltd,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
19061,114,0.926,11,50,0.0,0.9,40,Male,Has relevent experience,no_enrollment,Masters,STEM,11-15,100-500,Pvt Ltd,2,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
6491,102,0.804,10,48,0.0,0.8,40,no info,Has relevent experience,no_enrollment,Masters,STEM,5-10,no info,no info,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
7041,40,0.7759999999999999,<1,65,0.0,0.8,40,Male,Has relevent experience,no_enrollment,Graduate,Humanities,<5,1000-4999,Pvt Ltd,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0
22767,21,0.624,5,13,0.0,0.6,0,no info,Has relevent experience,no_enrollment,Graduate,STEM,5-10,1000-4999,Pvt Ltd,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0
14505,67,0.855,4,22,0.0,0.9,0,no info,No relevent experience,no_enrollment,High School,no info,<5,no info,no info,never,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,1,1
17139,21,0.624,14,148,1.0,0.6,120,no info,Has relevent experience,Part time course,Graduate,STEM,11-15,500-999,Pvt Ltd,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0
28476,103,0.92,5,72,0.0,0.9,40,Male,Has relevent experience,no_enrollment,Graduate,Arts,5-10,no info,no info,2,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
21538,100,0.887,11,8,1.0,0.9,0,Male,Has relevent experience,no_enrollment,High School,no info,11-15,<10,Pvt Ltd,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0
10408,21,0.624,18,68,1.0,0.6,40,Male,Has relevent experience,no_enrollment,Graduate,STEM,16-20,50-99,Funded Startup,2,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0
14928,103,0.92,>20,40,0.0,0.9,40,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,100-500,Pvt Ltd,3,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0
22293,103,0.92,19,141,0.0,0.9,120,Male,Has relevent experience,Part time course,Graduate,STEM,16-20,5000-9999,Pvt Ltd,>4,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
4324,103,0.92,5,24,0.0,0.9,0,Female,No relevent experience,Full time course,Graduate,STEM,5-10,no info,no info,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
26966,160,0.92,>20,82,0.0,0.9,80,Female,Has relevent experience,no_enrollment,Graduate,STEM,>20,100-500,Pvt Ltd,>4,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0
26494,16,0.91,12,145,0.0,0.9,120,Male,Has relevent experience,no_enrollment,Graduate,Business Degree,11-15,5000-9999,Pvt Ltd,3,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0
4866,103,0.92,10,206,0.0,0.9,200,Male,Has relevent experience,no_enrollment,Graduate,STEM,5-10,10/49,Early Stage Startup,2,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
12726,114,0.926,1,152,0.0,0.9,120,Male,No relevent experience,Part time course,High School,no info,<5,10000+,Other,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0
10164,114,0.926,>20,42,1.0,0.9,40,Male,Has relevent experience,no_enrollment,Phd,STEM,>20,100-500,Pvt Ltd,4,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0
8612,103,0.92,12,50,0.0,0.9,40,no info,No relevent experience,no_enrollment,Graduate,STEM,11-15,no info,no info,4,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,1
2547,114,0.926,16,14,0.0,0.9,0,Female,Has relevent experience,Full time course,Masters,STEM,16-20,1000-4999,Public Sector,2,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
