enrollee_id,city,city_development_index,gender,relevent_experience,enrolled_university,education_level,major_discipline,experience,company_size,company_type,last_new_job,training_hours,target,cdi_round,experience_group,training_ten_hours
8949,103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,no info,no info,1,36,1.0,0.9,>20,0
29725,40,0.7759999999999999,Male,No relevent experience,no_enrollment,Graduate,STEM,15,50-99,Pvt Ltd,>4,47,0.0,0.8,11-15,40
11561,21,0.624,no info,No relevent experience,Full time course,Graduate,STEM,5,no info,no info,never,83,0.0,0.6,5-10,80
666,162,0.767,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,50-99,Funded Startup,4,8,0.0,0.8,>20,0
21651,176,0.764,no info,Has relevent experience,Part time course,Graduate,STEM,11,no info,no info,1,24,1.0,0.8,11-15,0
28806,160,0.92,Male,Has relevent experience,no_enrollment,High School,no info,5,50-99,Funded Startup,1,24,0.0,0.9,5-10,0
402,46,0.762,Male,Has relevent experience,no_enrollment,Graduate,STEM,13,<10,Pvt Ltd,>4,18,1.0,0.8,11-15,0
27107,103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,7,50-99,Pvt Ltd,1,46,1.0,0.9,5-10,40
699,103,0.92,no info,Has relevent experience,no_enrollment,Graduate,STEM,17,10000+,Pvt Ltd,>4,123,0.0,0.9,16-20,120
29452,21,0.624,no info,No relevent experience,Full time course,High School,no info,2,no info,no info,never,32,1.0,0.6,<5,0
23853,103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,5000-9999,Pvt Ltd,1,108,0.0,0.9,5-10,80
25619,61,0.913,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,1000-4999,Pvt Ltd,3,23,0.0,0.9,>20,0
8722,21,0.624,no info,No relevent experience,Full time course,High School,no info,5,no info,no info,never,26,0.0,0.6,5-10,0
6588,114,0.926,Male,Has relevent experience,no_enrollment,Graduate,STEM,16,10/49,Pvt Ltd,>4,18,0.0,0.9,16-20,0
4167,103,0.92,no info,Has relevent experience,no_enrollment,Graduate,STEM,1,50-99,Pvt Ltd,never,106,0.0,0.9,<5,80
